Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),38.12,0.00,28220.95,,,,,,33.42,,36.36,38.24,39.44,323.96
Active Decode Throughput Per User (tokens/sec/user),38.12,0.00,28220.95,,,,,,33.42,,36.36,38.24,39.44,323.96
Active Prefill Throughput (tokens/sec),476.28,412.88,649.72,,,,,,470.10,,475.88,649.72,649.72,52.26
Active Prefill Throughput Per User (tokens/sec/user),476.28,412.88,649.72,,,,,,470.10,,475.88,649.72,649.72,52.26
Active Total Throughput (tokens/sec),144.79,36.25,649.72,,,,,,38.24,,472.04,473.08,649.72,189.81
Credit-to-Start Latency (ms),1.73,1.28,3.32,17.26,1.29,1.32,1.35,1.42,1.52,1.68,2.17,2.75,3.21,0.57
Decode Duration (ms),6681.60,6259.14,7006.83,66816.00,6260.45,6265.72,6272.30,6521.34,6727.19,6864.26,6983.16,6994.99,7004.47,254.27
E2E Output Token Throughput (tokens/sec/user),29.00,27.56,31.81,289.99,27.58,27.69,27.81,28.31,28.78,29.16,30.57,31.19,31.69,1.20
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.02
Effective Decode Concurrency,0.76,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.43
Effective Decode Throughput (tokens/sec),28.83,0.00,28220.95,,,,,,32.46,,35.67,37.90,39.24,282.19
Effective Decode Throughput Per User (tokens/sec/user),28.83,0.00,28220.95,,,,,,32.46,,35.67,37.90,39.24,282.19
Effective Latency (CO-aware) (ms),8833.35,8050.20,9255.33,88333.46,8082.79,8213.17,8376.14,8780.07,8895.69,9036.90,9169.69,9212.51,9246.77,341.42
Effective Prefill Concurrency,0.24,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.43
Effective Prefill Throughput (tokens/sec),115.90,0.00,649.72,,,,,,0.00,,472.04,473.08,649.72,205.99
Effective Prefill Throughput Per User (tokens/sec/user),115.90,0.00,649.72,,,,,,0.00,,472.04,473.08,649.72,205.99
Effective Total Throughput (tokens/sec),144.72,0.00,649.72,,,,,,38.24,,472.04,473.08,649.72,189.79
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,114.00,99.00,125.00,1140.00,99.81,103.05,107.10,109.50,114.50,119.25,122.30,123.65,124.73,7.25
HTTP Chunks Sent,1.00,1.00,1.00,10.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.90,0.58,2.88,8.95,0.58,0.59,0.60,0.64,0.68,0.75,0.99,1.94,2.69,0.67
HTTP Connection Overhead (ms),1.09,0.58,4.86,10.93,0.58,0.59,0.60,0.64,0.68,0.75,1.19,3.02,4.49,1.26
HTTP Connection Reused (ratio),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Data Received (KB),67.44,67.34,67.51,674.36,67.34,67.35,67.37,67.39,67.43,67.49,67.51,67.51,67.51,0.06
HTTP Data Sent (KB),4.63,4.35,4.95,46.26,4.36,4.40,4.46,4.55,4.63,4.69,4.77,4.86,4.93,0.16
HTTP DNS Lookup (ms),0.20,0.00,1.97,1.97,0.00,0.00,0.00,0.00,0.00,0.00,0.20,1.09,1.80,0.59
HTTP Duration (excl. conn) (ms),8831.52,8047.94,9253.56,88315.22,8080.61,8211.26,8374.57,8778.51,8894.11,9034.81,9168.29,9210.92,9245.03,341.46
HTTP Receiving (ms),6681.66,6259.14,7007.02,66816.56,6260.46,6265.72,6272.30,6521.39,6727.27,6864.27,6983.30,6995.16,7004.65,254.31
HTTP Sending (ms),1.12,0.76,3.29,11.18,0.77,0.77,0.78,0.82,0.88,0.95,1.27,2.28,3.09,0.73
HTTP Total Time (ms),8832.61,8052.80,9254.34,88326.15,8085.08,8214.21,8375.62,8779.19,8894.75,9035.44,9168.97,9211.65,9245.80,340.52
HTTP Waiting (TTFB) (ms),2148.75,1572.49,2479.16,21487.48,1624.55,1832.78,2093.07,2164.11,2172.87,2182.38,2268.93,2374.04,2458.14,213.21
Input Sequence Length (tokens),1024.00,1024.00,1024.00,10240.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Inter Chunk Latency (ms),26.20,0.00,74.59,66816.00,0.00,0.00,0.00,0.00,0.00,67.15,68.57,69.30,70.75,32.98
Inter Token Latency (ms),26.23,24.55,27.59,262.34,24.55,24.57,24.60,25.57,26.38,26.94,27.49,27.54,27.58,1.03
OSL Mismatch Diff % (%),-0.12,-0.39,0.00,-1.17,-0.39,-0.39,-0.39,-0.29,0.00,0.00,0.00,0.00,0.00,0.18
Output Sequence Length (tokens),255.70,255.00,256.00,2557.00,255.00,255.00,255.00,255.25,256.00,256.00,256.00,256.00,256.00,0.46
Output Token Count (tokens),255.70,255.00,256.00,2557.00,255.00,255.00,255.00,255.25,256.00,256.00,256.00,256.00,256.00,0.46
Output Token Throughput Per User (tokens/sec/user),38.18,36.25,40.74,381.78,36.26,36.31,36.37,37.11,37.91,39.11,40.65,40.70,40.73,1.53
Prefill Throughput Per User (tokens/sec/user),482.02,412.88,649.72,4820.19,416.74,432.19,451.50,468.99,471.07,472.97,493.26,571.49,634.07,58.63
Request Latency (ms),8831.58,8048.15,9253.45,88315.78,8080.81,8211.41,8374.67,8778.59,8894.13,9034.90,9168.24,9210.85,9244.93,341.39
Time to First Output Token (ms),2149.98,1576.07,2480.13,21499.78,1627.88,1835.15,2094.24,2165.06,2173.78,2183.41,2269.97,2375.05,2459.11,212.51
Time to First Token (ms),2149.98,1576.07,2480.13,21499.78,1627.88,1835.15,2094.24,2165.06,2173.78,2183.41,2269.97,2375.05,2459.11,212.51
Time to Second Token (ms),68.53,52.33,71.56,685.25,53.82,59.77,67.20,69.61,70.22,70.57,71.56,71.56,71.56,5.45
Tokens In Flight (tokens),1120.20,0.00,1280.00,,,,,,1111.00,,1247.00,1262.00,1276.00,87.94

Metric,Value
Benchmark Duration (sec),88.35
Input Token Throughput (tokens/sec),115.90
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),28.94
Request Count,10.00
Request Throughput (requests/sec),0.11
Total Input Sequence Length (tokens),10240.00
Total Output Sequence Length (tokens),2557.00
Total Output Tokens (tokens),2557.00
Total Token Throughput (tokens/sec),144.83


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
