Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),35.63,0.00,770.37,,,,,,33.06,,40.38,63.44,65.35,12.42
Active Decode Throughput Per User (tokens/sec/user),35.63,0.00,770.37,,,,,,33.06,,40.38,63.44,65.35,12.42
Active Prefill Throughput (tokens/sec),2571.15,2553.81,2627.35,,,,,,2562.52,,2589.93,2627.35,2627.35,20.92
Active Prefill Throughput Per User (tokens/sec/user),2571.15,2553.81,2627.35,,,,,,2562.52,,2589.93,2627.35,2627.35,20.92
Active Total Throughput (tokens/sec),169.27,29.80,2627.35,,,,,,33.23,,65.46,2553.81,2589.93,566.63
Credit-to-Start Latency (ms),2.15,1.43,4.06,21.50,1.43,1.43,1.43,1.60,2.00,2.39,2.76,3.41,3.93,0.75
Decode Duration (ms),7157.80,3895.61,8558.01,71577.98,4107.35,4954.27,6012.93,6911.51,7514.60,8008.20,8153.51,8355.76,8517.56,1263.50
E2E Output Token Throughput (tokens/sec/user),35.29,28.58,59.66,352.86,28.71,29.26,29.94,30.46,32.36,35.05,40.63,50.15,57.76,8.58
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.02
Effective Decode Concurrency,0.95,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.22
Effective Decode Throughput (tokens/sec),33.73,0.00,770.37,,,,,,32.90,,40.34,63.07,65.35,14.49
Effective Decode Throughput Per User (tokens/sec/user),33.73,0.00,770.37,,,,,,32.90,,40.34,63.07,65.35,14.49
Effective Latency (CO-aware) (ms),7558.21,4293.60,8959.90,75582.13,4505.51,5353.14,6412.68,7307.34,7915.93,8410.08,8555.20,8757.55,8919.43,1264.80
Effective Prefill Concurrency,0.05,0.00,1.00,,,,,,0.00,,0.00,1.00,1.00,0.22
Effective Prefill Throughput (tokens/sec),135.44,0.00,2627.35,,,,,,0.00,,0.00,2553.81,2589.93,574.39
Effective Prefill Throughput Per User (tokens/sec/user),135.44,0.00,2627.35,,,,,,0.00,,0.00,2553.81,2589.93,574.39
Effective Total Throughput (tokens/sec),169.17,0.00,2627.35,,,,,,33.23,,65.46,2553.81,2589.93,566.49
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,112.20,62.00,134.00,1122.00,65.24,78.20,94.40,108.50,117.50,125.50,127.70,130.85,133.37,19.50
HTTP Chunks Sent,1.00,1.00,1.00,10.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.45,0.00,4.48,4.48,0.00,0.00,0.00,0.00,0.00,0.00,0.45,2.46,4.08,1.34
HTTP Connection Overhead (ms),0.75,0.00,7.45,7.45,0.00,0.00,0.00,0.00,0.00,0.00,0.75,4.10,6.78,2.24
