Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),16.37,0.00,12161.90,,,,,,16.30,,19.01,19.54,20.05,11.11
Active Decode Throughput Per User (tokens/sec/user),16.37,0.00,12161.90,,,,,,16.30,,19.01,19.54,20.05,11.11
Active Prefill Throughput (tokens/sec),926.26,292.16,1785.50,,,,,,893.98,,1761.41,1785.50,1785.50,528.80
Active Prefill Throughput Per User (tokens/sec/user),926.26,292.16,1785.50,,,,,,893.98,,1761.41,1785.50,1785.50,528.80
Active Total Throughput (tokens/sec),76.65,16.25,1785.50,,,,,,16.39,,16.52,292.16,1588.43,264.09
Credit-to-Start Latency (ms),3.11,1.25,13.34,31.08,1.29,1.47,1.68,1.86,2.07,2.29,3.44,8.39,12.35,3.43
Decode Duration (ms),15580.99,15437.76,15692.35,155809.90,15438.99,15443.91,15450.06,15494.11,15616.91,15668.47,15689.24,15690.80,15692.04,95.54
E2E Output Token Throughput (tokens/sec/user),15.37,13.51,15.86,153.73,13.65,14.17,14.83,15.41,15.61,15.76,15.80,15.83,15.85,0.67
Effective Concurrency,1.00,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.02
Effective Decode Concurrency,0.93,0.00,1.00,,,,,,1.00,,1.00,1.00,1.00,0.25
Effective Decode Throughput (tokens/sec),15.28,0.00,12161.90,,,,,,16.27,,18.83,19.49,20.03,11.48
Effective Decode Throughput Per User (tokens/sec/user),15.28,0.00,12161.90,,,,,,16.27,,18.83,19.49,20.03,11.48
Effective Latency (CO-aware) (ms),16689.61,16144.17,18944.95,166896.13,16150.18,16174.21,16204.25,16279.75,16403.42,16615.26,17226.53,18085.74,18773.11,790.42
Effective Prefill Concurrency,0.07,0.00,1.00,,,,,,0.00,,0.00,1.00,1.00,0.25
Effective Prefill Throughput (tokens/sec),61.35,0.00,1785.50,,,,,,0.00,,0.00,292.16,1588.43,267.54
Effective Prefill Throughput Per User (tokens/sec/user),61.35,0.00,1785.50,,,,,,0.00,,0.00,292.16,1588.43,267.54
Effective Total Throughput (tokens/sec),76.62,0.00,1785.50,,,,,,16.39,,16.52,292.16,1588.43,264.05
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,255.00,252.00,256.00,2550.00,252.09,252.45,252.90,254.25,256.00,256.00,256.00,256.00,256.00,1.41
HTTP Chunks Sent,1.00,1.00,1.00,10.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.30,0.00,2.95,2.95,0.00,0.00,0.00,0.00,0.00,0.00,0.30,1.62,2.69,0.89
HTTP Connection Overhead (ms),0.51,0.00,5.06,5.06,0.00,0.00,0.00,0.00,0.00,0.00,0.51,2.78,4.60,1.52
HTTP Connection Reused (ratio),0.90,0.00,1.00,9.00,0.09,0.45,0.90,1.00,1.00,1.00,1.00,1.00,1.00,0.30
HTTP Data Received (KB),65.22,64.50,65.49,652.18,64.53,64.67,64.85,65.00,65.41,65.43,65.49,65.49,65.49,0.32
HTTP Data Sent (KB),4.67,4.41,4.94,46.66,4.42,4.42,4.43,4.54,4.64,4.83,4.90,4.92,4.93,0.18
HTTP DNS Lookup (ms),0.21,0.00,2.10,2.10,0.00,0.00,0.00,0.00,0.00,0.00,0.21,1.16,1.91,0.63
HTTP Duration (excl. conn) (ms),16686.40,16142.35,18942.48,166864.01,16148.35,16172.33,16202.31,16277.62,16401.42,16612.87,17214.19,18078.34,18769.65,789.78
HTTP Receiving (ms),15581.01,15437.84,15692.36,155810.07,15439.07,15443.96,15450.07,15494.12,15616.92,15668.47,15689.25,15690.80,15692.05,95.53
HTTP Sending (ms),0.51,0.17,3.41,5.10,0.17,0.17,0.17,0.17,0.18,0.19,0.57,1.99,3.13,0.97
HTTP Total Time (ms),16686.91,16142.35,18947.54,166869.07,16148.35,16172.33,16202.31,16277.62,16401.42,16612.87,17214.69,18081.12,18774.25,791.22
HTTP Waiting (TTFB) (ms),1104.88,573.24,3501.23,11048.85,573.94,576.76,580.29,653.88,770.52,1102.56,1615.12,2558.18,3312.62,838.66
Input Sequence Length (tokens),1024.00,1024.00,1024.00,10240.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Inter Chunk Latency (ms),61.32,0.00,77.40,155809.90,49.59,51.16,52.15,60.55,61.46,62.40,71.31,72.10,73.28,6.50
Inter Token Latency (ms),61.10,60.54,61.54,611.02,60.55,60.56,60.59,60.76,61.16,61.49,61.53,61.53,61.54,0.39
OSL Mismatch Diff % (%),0.00,-0.39,0.39,0.00,-0.36,-0.21,-0.04,0.00,0.00,0.00,0.04,0.21,0.36,0.17
Output Sequence Length (tokens),256.00,255.00,257.00,2560.00,255.09,255.45,255.90,256.00,256.00,256.00,256.10,256.55,256.91,0.45
Output Token Count (tokens),256.00,255.00,257.00,2560.00,255.09,255.45,255.90,256.00,256.00,256.00,256.10,256.55,256.91,0.45
Output Token Throughput Per User (tokens/sec/user),16.37,16.25,16.52,163.67,16.25,16.25,16.25,16.26,16.35,16.46,16.50,16.51,16.52,0.10
Prefill Throughput Per User (tokens/sec/user),1228.16,292.16,1785.50,12281.56,331.42,488.44,684.73,933.02,1340.77,1566.34,1763.82,1774.66,1783.33,461.11
Request Latency (ms),16686.51,16142.44,18942.69,166865.06,16148.44,16172.42,16202.40,16277.72,16401.52,16612.96,17214.30,18078.50,18769.85,789.81
Time to First Output Token (ms),1105.52,573.51,3504.93,11055.16,574.21,577.04,580.57,654.16,770.80,1102.85,1615.82,2560.38,3316.02,839.64
Time to First Token (ms),1105.52,573.51,3504.93,11055.16,574.21,577.04,580.57,654.16,770.80,1102.85,1615.82,2560.38,3316.02,839.64
Time to Second Token (ms),7.09,0.00,22.13,70.90,0.01,0.04,0.07,0.42,1.05,15.81,21.76,21.94,22.10,9.30
Tokens In Flight (tokens),1143.58,0.00,1281.00,,,,,,1143.46,,1252.00,1266.00,1276.98,80.62

Metric,Value
Benchmark Duration (sec),166.92
Input Token Throughput (tokens/sec),61.35
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),15.34
Request Count,10.00
Request Throughput (requests/sec),0.06
Total Input Sequence Length (tokens),10240.00
Total Output Sequence Length (tokens),2560.00
Total Output Tokens (tokens),2560.00
Total Token Throughput (tokens/sec),76.68


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
